,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
56,47,0.0125,11,1,tensor(204.6501),121.0,11,11,30,56,5,4,0,2,10,7,7,0,4,10,33.0,58.426406145095825,False,0,0,11,11,121,79.0,0.2727272727272727,0.4177215189873418,5.0,4.857142925262451,5.758855819702148,3.2410224072142872,0.6552735242644172,6.08403569620442
57,48,0.0125,11,1,tensor(204.6501),121.0,11,11,30,58,5,4,0,2,10,7,1,0,4,10,33.0,60.426406145095825,False,0,0,11,11,121,82.5,0.2727272727272727,0.4,4.722222328186035,4.5,5.840043067932129,3.2410224072142872,0.6556393348524384,6.114409345247937
58,48,0.0125,11,1,tensor(204.6501),121.0,11,11,29,58,5,4,0,2,10,7,1,0,4,10,33.0,60.426406145095825,False,0,0,11,11,121,82.5,0.2727272727272727,0.4,4.722222328186035,4.5,5.840043067932129,3.2410224072142872,0.6556393348524384,6.114409345247937
59,49,0.0125,11,1,tensor(204.6501),121.0,11,11,29,157,5,4,0,2,10,7,1,0,4,10,33.0,62.426406145095825,False,0,0,11,11,121,82.5,0.2727272727272727,0.4,4.722222328186035,4.5,5.840043067932129,3.2410224072142872,0.6702218907072914,6.172448452825175
60,50,0.0125,11,1,tensor(204.6501),121.0,11,11,29,36,4,4,0,1,10,7,1,0,4,10,34.0,62.426406145095825,False,0,0,11,11,121,83.0,0.2809917355371901,0.40963855421686746,4.716216087341309,4.472972869873047,5.857081890106201,3.2897623212397704,0.6789657944051456,6.20159479848469
61,50,0.0125,11,1,tensor(204.6501),121.0,11,11,28,36,4,4,0,1,10,7,1,0,4,10,34.0,62.426406145095825,False,0,0,11,11,121,83.0,0.2809917355371901,0.40963855421686746,4.716216087341309,4.472972869873047,5.857081890106201,3.2897623212397704,0.6789657944051456,6.20159479848469
62,51,0.0125,11,1,tensor(204.6501),121.0,11,11,28,34,4,4,0,1,10,7,1,0,1,10,34.0,64.42640614509583,False,0,0,11,11,121,85.0,0.2809917355371901,0.4,4.611111164093018,5.0,6.167767524719238,3.2897623212397704,0.6500919372212364,6.199649233982679
63,51,0.0125,11,1,tensor(204.6501),121.0,11,11,27,34,4,4,0,1,10,7,1,0,1,10,34.0,64.42640614509583,False,0,0,11,11,121,85.0,0.2809917355371901,0.4,4.611111164093018,5.0,6.167767524719238,3.2897623212397704,0.6500919372212364,6.199649233982679
64,52,0.0125,11,1,tensor(204.6501),121.0,11,11,27,56,4,4,0,1,10,7,1,0,1,10,34.0,64.42640614509583,False,0,0,11,11,121,85.0,0.2809917355371901,0.4,4.611111164093018,5.0,6.167767524719238,3.2897623212397704,0.6238681796864488,6.200439718141092
65,52,0.0125,11,1,tensor(204.6501),121.0,11,11,26,56,4,4,0,1,10,7,1,0,1,10,34.0,64.42640614509583,False,0,0,11,11,121,85.0,0.2809917355371901,0.4,4.611111164093018,5.0,6.167767524719238,3.2897623212397704,0.6238681796864488,6.200439718141092
66,53,0.0125,11,1,tensor(204.6501),121.0,11,11,26,172,4,4,0,1,10,7,1,0,1,10,34.0,64.42640614509583,False,0,0,11,11,121,85.0,0.2809917355371901,0.4,4.611111164093018,5.0,6.167767524719238,3.2897623212397704,0.5999142477104255,6.203465654322725
